metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	7
changed_sequences	993
changed_sequence_fraction	0.9930000000
total_edit_distance	112845
mean_edit_distance	112.845000
median_edit_distance	44.000000
p95_edit_distance	428.050000
mean_normalized_edit_distance	0.0383012338
median_normalized_edit_distance	0.0169082126
p95_normalized_edit_distance	0.1161502101
mean_sequence_identity_percent	96.169877
median_sequence_identity_percent	98.309179
mean_alignment_identity_percent	96.202965
total_matches	4855588
total_substitutions	34897
total_insertions	29259
total_deletions	48689
mean_clean_length	4939.174000
mean_perturbed_length	4919.744000
mean_length_change	-19.430000
median_absolute_length_change	6.000000
reads_with_length_change	922
mean_clean_qscore	34.204719
mean_perturbed_qscore	31.704477
mean_qscore_change	-2.500241
median_qscore_change	-2.500981
reads_with_qscore_decrease	954
reads_with_qscore_increase	46
reads_with_unchanged_qscore	0
