metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	58
changed_sequences	942
changed_sequence_fraction	0.9420000000
total_edit_distance	41277
mean_edit_distance	41.277000
median_edit_distance	12.000000
p95_edit_distance	136.450000
mean_normalized_edit_distance	0.0159603452
median_normalized_edit_distance	0.0048605534
p95_normalized_edit_distance	0.0361555312
mean_sequence_identity_percent	98.403965
median_sequence_identity_percent	99.513945
mean_alignment_identity_percent	98.425958
total_matches	4909296
total_substitutions	11949
total_insertions	11399
total_deletions	17929
mean_clean_length	4939.174000
mean_perturbed_length	4932.644000
mean_length_change	-6.530000
median_absolute_length_change	3.000000
reads_with_length_change	847
mean_clean_qscore	34.204719
mean_perturbed_qscore	34.098027
mean_qscore_change	-0.106692
median_qscore_change	-0.110618
reads_with_qscore_decrease	702
reads_with_qscore_increase	297
reads_with_unchanged_qscore	1
