metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	1
changed_sequences	999
changed_sequence_fraction	0.9990000000
total_edit_distance	276151
mean_edit_distance	276.151000
median_edit_distance	118.500000
p95_edit_distance	1140.100000
mean_normalized_edit_distance	0.0732864604
median_normalized_edit_distance	0.0493771429
p95_normalized_edit_distance	0.2001650413
mean_sequence_identity_percent	92.671354
median_sequence_identity_percent	95.062286
mean_alignment_identity_percent	92.813522
total_matches	4736095
total_substitutions	93754
total_insertions	73072
total_deletions	109325
mean_clean_length	4939.174000
mean_perturbed_length	4902.921000
mean_length_change	-36.253000
median_absolute_length_change	18.500000
reads_with_length_change	973
mean_clean_qscore	34.204719
mean_perturbed_qscore	23.472074
mean_qscore_change	-10.732645
median_qscore_change	-10.801078
reads_with_qscore_decrease	983
reads_with_qscore_increase	17
reads_with_unchanged_qscore	0
