metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	1000
changed_sequence_fraction	1.0000000000
total_edit_distance	272995
mean_edit_distance	272.995000
median_edit_distance	117.500000
p95_edit_distance	1110.100000
mean_normalized_edit_distance	0.0717185570
median_normalized_edit_distance	0.0478552260
p95_normalized_edit_distance	0.1945337926
mean_sequence_identity_percent	92.828144
median_sequence_identity_percent	95.214477
mean_alignment_identity_percent	92.955906
total_matches	4738024
total_substitutions	91752
total_insertions	71845
total_deletions	109398
mean_clean_length	4939.174000
mean_perturbed_length	4901.621000
mean_length_change	-37.553000
median_absolute_length_change	18.000000
reads_with_length_change	978
mean_clean_qscore	34.204719
mean_perturbed_qscore	23.466543
mean_qscore_change	-10.738176
median_qscore_change	-10.764302
reads_with_qscore_decrease	986
reads_with_qscore_increase	14
reads_with_unchanged_qscore	0
