metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	1
changed_sequences	999
changed_sequence_fraction	0.9990000000
total_edit_distance	274774
mean_edit_distance	274.774000
median_edit_distance	116.000000
p95_edit_distance	1083.500000
mean_normalized_edit_distance	0.0725691609
median_normalized_edit_distance	0.0477333997
p95_normalized_edit_distance	0.2062074906
mean_sequence_identity_percent	92.743084
median_sequence_identity_percent	95.226660
mean_alignment_identity_percent	92.880103
total_matches	4736287
total_substitutions	93001
total_insertions	71887
total_deletions	109886
mean_clean_length	4939.174000
mean_perturbed_length	4901.175000
mean_length_change	-37.999000
median_absolute_length_change	19.000000
reads_with_length_change	976
mean_clean_qscore	34.204719
mean_perturbed_qscore	23.490548
mean_qscore_change	-10.714170
median_qscore_change	-10.762484
reads_with_qscore_decrease	983
reads_with_qscore_increase	17
reads_with_unchanged_qscore	0
