metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	57
changed_sequences	943
changed_sequence_fraction	0.9430000000
total_edit_distance	40064
mean_edit_distance	40.064000
median_edit_distance	13.000000
p95_edit_distance	138.100000
mean_normalized_edit_distance	0.0140500598
median_normalized_edit_distance	0.0049252998
p95_normalized_edit_distance	0.0400379437
mean_sequence_identity_percent	98.594994
median_sequence_identity_percent	99.507470
mean_alignment_identity_percent	98.598952
total_matches	4911216
total_substitutions	13438
total_insertions	12106
total_deletions	14520
mean_clean_length	4939.174000
mean_perturbed_length	4936.760000
mean_length_change	-2.414000
median_absolute_length_change	3.000000
reads_with_length_change	823
mean_clean_qscore	34.204719
mean_perturbed_qscore	34.094774
mean_qscore_change	-0.109944
median_qscore_change	-0.128878
reads_with_qscore_decrease	728
reads_with_qscore_increase	272
reads_with_unchanged_qscore	0
