metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	7
changed_sequences	993
changed_sequence_fraction	0.9930000000
total_edit_distance	112719
mean_edit_distance	112.719000
median_edit_distance	43.000000
p95_edit_distance	424.700000
mean_normalized_edit_distance	0.0376957481
median_normalized_edit_distance	0.0171303139
p95_normalized_edit_distance	0.1105523536
mean_sequence_identity_percent	96.230425
median_sequence_identity_percent	98.286969
mean_alignment_identity_percent	96.257976
total_matches	4855554
total_substitutions	35257
total_insertions	29099
total_deletions	48363
mean_clean_length	4939.174000
mean_perturbed_length	4919.910000
mean_length_change	-19.264000
median_absolute_length_change	6.000000
reads_with_length_change	933
mean_clean_qscore	34.204719
mean_perturbed_qscore	31.631154
mean_qscore_change	-2.573565
median_qscore_change	-2.495941
reads_with_qscore_decrease	960
reads_with_qscore_increase	40
reads_with_unchanged_qscore	0
