metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	9
changed_sequences	991
changed_sequence_fraction	0.9910000000
total_edit_distance	112809
mean_edit_distance	112.809000
median_edit_distance	42.000000
p95_edit_distance	422.350000
mean_normalized_edit_distance	0.0378164210
median_normalized_edit_distance	0.0172697836
p95_normalized_edit_distance	0.1150305469
mean_sequence_identity_percent	96.218358
median_sequence_identity_percent	98.273022
mean_alignment_identity_percent	96.244749
total_matches	4855802
total_substitutions	34874
total_insertions	29437
total_deletions	48498
mean_clean_length	4939.174000
mean_perturbed_length	4920.113000
mean_length_change	-19.061000
median_absolute_length_change	6.000000
reads_with_length_change	927
mean_clean_qscore	34.204719
mean_perturbed_qscore	31.679083
mean_qscore_change	-2.525635
median_qscore_change	-2.512607
reads_with_qscore_decrease	961
reads_with_qscore_increase	39
reads_with_unchanged_qscore	0
