read_id	attack_type	context_signal_start	context_signal_end	window_samples	changed_samples	changed_fraction_of_window	changed_fraction_of_read	clean_window_mean	attacked_window_mean	clean_window_std	attacked_window_std	left_boundary_value	right_boundary_value	outside_window_identical	raw_signal_samples
00533577-803b-48cd-814e-adfa3e058d91	local_linear_interpolation	76222	76462	240	240	1.0	0.0006571795496677136	677.6083333333333	641.5	104.26287257323301	13.50863921101357	618	665	1	365197
199fcf4a-a100-4779-b89e-c80f4793cdfc	local_linear_interpolation	53080	53320	240	238	0.9916666666666667	0.0005114506933595219	701.3375	650.5	122.63610912132147	7.199537022151725	638	663	1	465343
1de25dab-c1cd-4c85-9b97-0104f8f411a5	local_linear_interpolation	261160	261376	216	214	0.9907407407407407	0.0006993738316535289	692.6712962962963	651.5	120.19828644779543	9.49707557327225	635	668	1	305988
26efcc36-d025-471e-933a-e57a2447c465	local_linear_interpolation	367714	368104	390	390	1.0	0.0008500658256100857	731.6333333333333	829.5	107.61313148671061	73.99794695696735	958	701	1	458788
72209365-d223-4c87-9ba5-63376a9170fd	local_linear_interpolation	186412	186880	468	466	0.9957264957264957	0.0010140310563331245	756.9807692307693	836.0	110.13399789994631	3.4770308583248997	830	842	1	459552
7c1164dc-2545-441b-ab5d-11227989dfe6	local_linear_interpolation	370006	370228	222	220	0.990990990990991	0.0005096828151171923	826.1846846846847	811.0	130.26296044747417	59.75867383986277	707	915	1	431641
9d796ae7-6945-4d1e-abb4-7bdce517a96d	local_linear_interpolation	301684	301966	282	280	0.9929078014184397	0.0008809990529260181	756.4716312056737	838.5	127.60992025858725	8.920154087019473	854	823	1	317821
a634b28d-7579-4d22-b746-c799d1222281	local_linear_interpolation	78796	79174	378	376	0.9947089947089947	0.0012200622361534293	736.8968253968254	723.5	115.75529489746982	57.861595948558886	623	824	1	308181
cb0e7285-3c4a-461b-8540-7f0a3fda312c	local_linear_interpolation	262666	263008	342	336	0.9824561403508771	0.0006406565203961392	722.8391812865497	773.5	104.97075831989443	26.19101560164504	819	728	1	524462
e7f01a96-5fbc-463c-9f12-f4e323ea44f3	local_linear_interpolation	264916	265138	222	222	1.0	0.0006715144768841728	746.7252252252252	837.5	132.30404920394568	87.07311569869013	989	686	1	330596
