metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	11
changed_sequences	989
changed_sequence_fraction	0.9890000000
total_edit_distance	113241
mean_edit_distance	113.241000
median_edit_distance	43.000000
p95_edit_distance	424.300000
mean_normalized_edit_distance	0.0390807207
median_normalized_edit_distance	0.0178357432
p95_normalized_edit_distance	0.1154774536
mean_sequence_identity_percent	96.091928
median_sequence_identity_percent	98.216426
mean_alignment_identity_percent	96.115207
total_matches	4856048
total_substitutions	34963
total_insertions	30115
total_deletions	48163
mean_clean_length	4939.174000
mean_perturbed_length	4921.126000
mean_length_change	-18.048000
median_absolute_length_change	7.000000
reads_with_length_change	933
mean_clean_qscore	34.204719
mean_perturbed_qscore	31.658133
mean_qscore_change	-2.546585
median_qscore_change	-2.508566
reads_with_qscore_decrease	960
reads_with_qscore_increase	40
reads_with_unchanged_qscore	0
