metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	1000
perturbed_bam_records	1000
paired_reads	1000
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	64
changed_sequences	936
changed_sequence_fraction	0.9360000000
total_edit_distance	39343
mean_edit_distance	39.343000
median_edit_distance	13.000000
p95_edit_distance	133.150000
mean_normalized_edit_distance	0.0147657120
median_normalized_edit_distance	0.0050249955
p95_normalized_edit_distance	0.0387227103
mean_sequence_identity_percent	98.523429
median_sequence_identity_percent	99.497500
mean_alignment_identity_percent	98.531521
total_matches	4911180
total_substitutions	13226
total_insertions	11349
total_deletions	14768
mean_clean_length	4939.174000
mean_perturbed_length	4935.755000
mean_length_change	-3.419000
median_absolute_length_change	3.000000
reads_with_length_change	827
mean_clean_qscore	34.204719
mean_perturbed_qscore	34.086836
mean_qscore_change	-0.117883
median_qscore_change	-0.115714
reads_with_qscore_decrease	719
reads_with_qscore_increase	281
reads_with_unchanged_qscore	0
