metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	11520
mean_edit_distance	115.200000
median_edit_distance	87.500000
p95_edit_distance	323.300000
mean_normalized_edit_distance	0.0642518442
median_normalized_edit_distance	0.0469749421
p95_normalized_edit_distance	0.1252360437
mean_sequence_identity_percent	93.574816
median_sequence_identity_percent	95.302506
mean_alignment_identity_percent	93.664747
total_matches	204238
total_substitutions	3905
total_insertions	3707
total_deletions	3908
mean_clean_length	2120.510000
mean_perturbed_length	2118.500000
mean_length_change	-2.010000
median_absolute_length_change	12.000000
reads_with_length_change	96
mean_clean_qscore	35.026829
mean_perturbed_qscore	24.756542
mean_qscore_change	-10.270288
median_qscore_change	-10.473298
reads_with_qscore_decrease	98
reads_with_qscore_increase	2
reads_with_unchanged_qscore	0
