metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	7
changed_sequences	93
changed_sequence_fraction	0.9300000000
total_edit_distance	1447
mean_edit_distance	14.470000
median_edit_distance	9.000000
p95_edit_distance	52.050000
mean_normalized_edit_distance	0.0101731112
median_normalized_edit_distance	0.0048674130
p95_normalized_edit_distance	0.0290844046
mean_sequence_identity_percent	98.982689
median_sequence_identity_percent	99.513259
mean_alignment_identity_percent	98.984494
total_matches	211123
total_substitutions	521
total_insertions	519
total_deletions	407
mean_clean_length	2120.510000
mean_perturbed_length	2121.630000
mean_length_change	1.120000
median_absolute_length_change	2.000000
reads_with_length_change	86
mean_clean_qscore	35.026829
mean_perturbed_qscore	34.943763
mean_qscore_change	-0.083067
median_qscore_change	-0.109167
reads_with_qscore_decrease	63
reads_with_qscore_increase	37
reads_with_unchanged_qscore	0
