metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	5
changed_sequences	95
changed_sequence_fraction	0.9500000000
total_edit_distance	1419
mean_edit_distance	14.190000
median_edit_distance	9.000000
p95_edit_distance	45.050000
mean_normalized_edit_distance	0.0120973869
median_normalized_edit_distance	0.0048228106
p95_normalized_edit_distance	0.0255151055
mean_sequence_identity_percent	98.790261
median_sequence_identity_percent	99.517719
mean_alignment_identity_percent	98.792314
total_matches	211142
total_substitutions	487
total_insertions	510
total_deletions	422
mean_clean_length	2120.510000
mean_perturbed_length	2121.390000
mean_length_change	0.880000
median_absolute_length_change	2.000000
reads_with_length_change	80
mean_clean_qscore	35.026829
mean_perturbed_qscore	34.962586
mean_qscore_change	-0.064243
median_qscore_change	-0.081192
reads_with_qscore_decrease	59
reads_with_qscore_increase	41
reads_with_unchanged_qscore	0
