metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	4340
mean_edit_distance	43.400000
median_edit_distance	28.500000
p95_edit_distance	129.100000
mean_normalized_edit_distance	0.0309674905
median_normalized_edit_distance	0.0153120795
p95_normalized_edit_distance	0.0573075077
mean_sequence_identity_percent	96.903251
median_sequence_identity_percent	98.468792
mean_alignment_identity_percent	96.919068
total_matches	209150
total_substitutions	1439
total_insertions	1439
total_deletions	1462
mean_clean_length	2120.510000
mean_perturbed_length	2120.280000
mean_length_change	-0.230000
median_absolute_length_change	5.000000
reads_with_length_change	92
mean_clean_qscore	35.026829
mean_perturbed_qscore	32.776901
mean_qscore_change	-2.249928
median_qscore_change	-2.341281
reads_with_qscore_decrease	96
reads_with_qscore_increase	4
reads_with_unchanged_qscore	0
