metric	value
input_pod5	/home/admin/datasets/hg002/pod5/PAO89685_pass__2264ba8c_afee3a87_0.pod5
output_pod5	/home/admin/datasets/GenoPhylax/A2_signal_perturbations/gaussian_noise/pod5/hg002_100reads_GN01_seed3.pod5
sigma_fraction	0.01
seed	3
max_reads	100
processed_reads	100
total_signal_samples	2570202
changed_signal_samples	1813988
changed_sample_fraction	0.7057764331
clipped_signal_samples	0
clipped_sample_fraction	0.0000000000
mean_noise_sigma	1.342309
mean_absolute_signal_change	1.055863
