metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	4071
mean_edit_distance	40.710000
median_edit_distance	28.000000
p95_edit_distance	122.050000
mean_normalized_edit_distance	0.0242600222
median_normalized_edit_distance	0.0155099645
p95_normalized_edit_distance	0.0738938643
mean_sequence_identity_percent	97.573998
median_sequence_identity_percent	98.449004
mean_alignment_identity_percent	97.589016
total_matches	209303
total_substitutions	1306
total_insertions	1323
total_deletions	1442
mean_clean_length	2120.510000
mean_perturbed_length	2119.320000
mean_length_change	-1.190000
median_absolute_length_change	4.000000
reads_with_length_change	94
mean_clean_qscore	35.026829
mean_perturbed_qscore	32.653329
mean_qscore_change	-2.373500
median_qscore_change	-2.392298
reads_with_qscore_decrease	95
reads_with_qscore_increase	5
reads_with_unchanged_qscore	0
