metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	11343
mean_edit_distance	113.430000
median_edit_distance	83.000000
p95_edit_distance	296.550000
mean_normalized_edit_distance	0.0644163794
median_normalized_edit_distance	0.0443956348
p95_normalized_edit_distance	0.1506264470
mean_sequence_identity_percent	93.558362
median_sequence_identity_percent	95.560437
mean_alignment_identity_percent	93.652081
total_matches	204422
total_substitutions	3820
total_insertions	3714
total_deletions	3809
mean_clean_length	2120.510000
mean_perturbed_length	2119.560000
mean_length_change	-0.950000
median_absolute_length_change	12.500000
reads_with_length_change	96
mean_clean_qscore	35.026829
mean_perturbed_qscore	24.729910
mean_qscore_change	-10.296920
median_qscore_change	-10.553709
reads_with_qscore_decrease	99
reads_with_qscore_increase	1
reads_with_unchanged_qscore	0
