metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	1
changed_sequences	99
changed_sequence_fraction	0.9900000000
total_edit_distance	4307
mean_edit_distance	43.070000
median_edit_distance	31.500000
p95_edit_distance	115.150000
mean_normalized_edit_distance	0.0257770799
median_normalized_edit_distance	0.0145776326
p95_normalized_edit_distance	0.0638784424
mean_sequence_identity_percent	97.422292
median_sequence_identity_percent	98.542237
mean_alignment_identity_percent	97.439135
total_matches	209091
total_substitutions	1381
total_insertions	1347
total_deletions	1579
mean_clean_length	2120.510000
mean_perturbed_length	2118.190000
mean_length_change	-2.320000
median_absolute_length_change	5.000000
reads_with_length_change	89
mean_clean_qscore	35.026829
mean_perturbed_qscore	32.668313
mean_qscore_change	-2.358517
median_qscore_change	-2.319944
reads_with_qscore_decrease	95
reads_with_qscore_increase	5
reads_with_unchanged_qscore	0
