metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	9
changed_sequences	91
changed_sequence_fraction	0.9100000000
total_edit_distance	1248
mean_edit_distance	12.480000
median_edit_distance	8.000000
p95_edit_distance	43.150000
mean_normalized_edit_distance	0.0076211566
median_normalized_edit_distance	0.0040475586
p95_normalized_edit_distance	0.0284596746
mean_sequence_identity_percent	99.237884
median_sequence_identity_percent	99.595244
mean_alignment_identity_percent	99.239942
total_matches	211232
total_substitutions	441
total_insertions	429
total_deletions	378
mean_clean_length	2120.510000
mean_perturbed_length	2121.020000
mean_length_change	0.510000
median_absolute_length_change	1.000000
reads_with_length_change	77
mean_clean_qscore	35.026829
mean_perturbed_qscore	34.939061
mean_qscore_change	-0.087769
median_qscore_change	-0.116562
reads_with_qscore_decrease	71
reads_with_qscore_increase	29
reads_with_unchanged_qscore	0
