metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	4
changed_sequences	96
changed_sequence_fraction	0.9600000000
total_edit_distance	1609
mean_edit_distance	16.090000
median_edit_distance	9.000000
p95_edit_distance	51.050000
mean_normalized_edit_distance	0.0128289093
median_normalized_edit_distance	0.0056131536
p95_normalized_edit_distance	0.0326660817
mean_sequence_identity_percent	98.717109
median_sequence_identity_percent	99.438685
mean_alignment_identity_percent	98.718720
total_matches	210978
total_substitutions	619
total_insertions	536
total_deletions	454
mean_clean_length	2120.510000
mean_perturbed_length	2121.330000
mean_length_change	0.820000
median_absolute_length_change	2.000000
reads_with_length_change	84
mean_clean_qscore	35.026829
mean_perturbed_qscore	34.842684
mean_qscore_change	-0.184145
median_qscore_change	-0.149313
reads_with_qscore_decrease	75
reads_with_qscore_increase	25
reads_with_unchanged_qscore	0
