metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	4412
mean_edit_distance	44.120000
median_edit_distance	31.000000
p95_edit_distance	121.200000
mean_normalized_edit_distance	0.0249880016
median_normalized_edit_distance	0.0170433211
p95_normalized_edit_distance	0.0533079023
mean_sequence_identity_percent	97.501200
median_sequence_identity_percent	98.295668
mean_alignment_identity_percent	97.517163
total_matches	209157
total_substitutions	1412
total_insertions	1518
total_deletions	1482
mean_clean_length	2120.510000
mean_perturbed_length	2120.870000
mean_length_change	0.360000
median_absolute_length_change	5.000000
reads_with_length_change	94
mean_clean_qscore	35.026829
mean_perturbed_qscore	32.714807
mean_qscore_change	-2.312022
median_qscore_change	-2.408697
reads_with_qscore_decrease	93
reads_with_qscore_increase	7
reads_with_unchanged_qscore	0
