metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	2
changed_sequences	98
changed_sequence_fraction	0.9800000000
total_edit_distance	4232
mean_edit_distance	42.320000
median_edit_distance	27.000000
p95_edit_distance	123.000000
mean_normalized_edit_distance	0.0231340340
median_normalized_edit_distance	0.0173618781
p95_normalized_edit_distance	0.0520312899
mean_sequence_identity_percent	97.686597
median_sequence_identity_percent	98.263812
mean_alignment_identity_percent	97.700270
total_matches	209101
total_substitutions	1455
total_insertions	1282
total_deletions	1495
mean_clean_length	2120.510000
mean_perturbed_length	2118.380000
mean_length_change	-2.130000
median_absolute_length_change	4.500000
reads_with_length_change	89
mean_clean_qscore	35.026829
mean_perturbed_qscore	32.872495
mean_qscore_change	-2.154335
median_qscore_change	-2.275973
reads_with_qscore_decrease	94
reads_with_qscore_increase	6
reads_with_unchanged_qscore	0
