metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	4367
mean_edit_distance	43.670000
median_edit_distance	26.000000
p95_edit_distance	152.100000
mean_normalized_edit_distance	0.0285071904
median_normalized_edit_distance	0.0142892464
p95_normalized_edit_distance	0.0630783850
mean_sequence_identity_percent	97.149281
median_sequence_identity_percent	98.571075
mean_alignment_identity_percent	97.165174
total_matches	208944
total_substitutions	1535
total_insertions	1260
total_deletions	1572
mean_clean_length	2120.510000
mean_perturbed_length	2117.390000
mean_length_change	-3.120000
median_absolute_length_change	4.000000
reads_with_length_change	89
mean_clean_qscore	35.026829
mean_perturbed_qscore	32.710343
mean_qscore_change	-2.316486
median_qscore_change	-2.362528
reads_with_qscore_decrease	97
reads_with_qscore_increase	3
reads_with_unchanged_qscore	0
