metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	11238
mean_edit_distance	112.380000
median_edit_distance	80.500000
p95_edit_distance	338.500000
mean_normalized_edit_distance	0.0605455010
median_normalized_edit_distance	0.0447313644
p95_normalized_edit_distance	0.1417003983
mean_sequence_identity_percent	93.945450
median_sequence_identity_percent	95.526864
mean_alignment_identity_percent	94.040113
total_matches	204295
total_substitutions	3899
total_insertions	3482
total_deletions	3857
mean_clean_length	2120.510000
mean_perturbed_length	2116.760000
mean_length_change	-3.750000
median_absolute_length_change	12.000000
reads_with_length_change	100
mean_clean_qscore	35.026829
mean_perturbed_qscore	24.592273
mean_qscore_change	-10.434556
median_qscore_change	-10.739417
reads_with_qscore_decrease	99
reads_with_qscore_increase	1
reads_with_unchanged_qscore	0
