metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	0
changed_sequences	100
changed_sequence_fraction	1.0000000000
total_edit_distance	11501
mean_edit_distance	115.010000
median_edit_distance	84.000000
p95_edit_distance	332.800000
mean_normalized_edit_distance	0.0632819530
median_normalized_edit_distance	0.0451611726
p95_normalized_edit_distance	0.1456357049
mean_sequence_identity_percent	93.671805
median_sequence_identity_percent	95.483883
mean_alignment_identity_percent	93.770375
total_matches	204364
total_substitutions	3868
total_insertions	3814
total_deletions	3819
mean_clean_length	2120.510000
mean_perturbed_length	2120.460000
mean_length_change	-0.050000
median_absolute_length_change	12.500000
reads_with_length_change	98
mean_clean_qscore	35.026829
mean_perturbed_qscore	24.729266
mean_qscore_change	-10.297563
median_qscore_change	-10.335168
reads_with_qscore_decrease	99
reads_with_qscore_increase	1
reads_with_unchanged_qscore	0
