metric	value
comparison_engine	edlib_global_NW_extended
clean_bam_records	100
perturbed_bam_records	100
paired_reads	100
clean_only_reads	0
perturbed_only_reads	0
exact_sequence_matches	6
changed_sequences	94
changed_sequence_fraction	0.9400000000
total_edit_distance	1707
mean_edit_distance	17.070000
median_edit_distance	10.000000
p95_edit_distance	50.400000
mean_normalized_edit_distance	0.0134510712
median_normalized_edit_distance	0.0050458758
p95_normalized_edit_distance	0.0349235433
mean_sequence_identity_percent	98.654893
median_sequence_identity_percent	99.495412
mean_alignment_identity_percent	98.658044
total_matches	210891
total_substitutions	575
total_insertions	547
total_deletions	585
mean_clean_length	2120.510000
mean_perturbed_length	2120.130000
mean_length_change	-0.380000
median_absolute_length_change	2.000000
reads_with_length_change	85
mean_clean_qscore	35.026829
mean_perturbed_qscore	34.919088
mean_qscore_change	-0.107741
median_qscore_change	-0.088698
reads_with_qscore_decrease	61
reads_with_qscore_increase	39
reads_with_unchanged_qscore	0
